id,county_id,subcounty_id,name,code,createdAt,updatedAt
764,29,153,Kapchorua,ward764,2023-08-10T09:40:58.895+03:00,2023-08-10T09:40:58.895+03:00
765,29,154,Chemundu/kapng'etunyi,ward765,2023-08-10T09:40:58.896+03:00,2023-08-10T09:40:58.896+03:00
766,29,154,Kosirai,ward766,2023-08-10T09:40:58.896+03:00,2023-08-10T09:40:58.896+03:00
768,29,154,Kaptel/kamoiywo,ward768,2023-08-10T09:40:58.898+03:00,2023-08-10T09:40:58.898+03:00
769,29,154,Kiptuiya,ward769,2023-08-10T09:40:58.899+03:00,2023-08-10T09:40:58.899+03:00
770,29,155,Chepkumia,ward770,2023-08-10T09:40:58.900+03:00,2023-08-10T09:40:58.900+03:00
771,29,155,Kapkangani,ward771,2023-08-10T09:40:58.901+03:00,2023-08-10T09:40:58.901+03:00
772,29,155,Kapsabet,ward772,2023-08-10T09:40:58.904+03:00,2023-08-10T09:40:58.904+03:00
773,29,155,Kilibwoni,ward773,2023-08-10T09:40:58.905+03:00,2023-08-10T09:40:58.905+03:00
774,29,156,Cheterwai,ward774,2023-08-10T09:40:58.906+03:00,2023-08-10T09:40:58.906+03:00
775,29,156,Kipkaren,ward775,2023-08-10T09:40:58.907+03:00,2023-08-10T09:40:58.907+03:00
776,29,156,Kurgung/surungai,ward776,2023-08-10T09:40:58.907+03:00,2023-08-10T09:40:58.907+03:00
777,29,156,Kabiyet,ward777,2023-08-10T09:40:58.908+03:00,2023-08-10T09:40:58.908+03:00
778,29,156,Ndalat,ward778,2023-08-10T09:40:58.909+03:00,2023-08-10T09:40:58.909+03:00
779,29,156,Kabisanga,ward779,2023-08-10T09:40:58.909+03:00,2023-08-10T09:40:58.909+03:00
780,29,156,Sangalo/kebulonik,ward780,2023-08-10T09:40:58.910+03:00,2023-08-10T09:40:58.910+03:00
788,30,158,Barwessa,ward788,2023-08-10T09:40:58.921+03:00,2023-08-10T09:40:58.921+03:00
781,30,157,Tirioko,ward781,2023-08-10T09:40:58.910+03:00,2023-08-10T09:40:58.910+03:00
789,30,158,Kabartonjo,ward789,2023-08-10T09:40:58.923+03:00,2023-08-10T09:40:58.923+03:00
821,31,164,Umande,ward821,2023-08-10T09:40:58.965+03:00,2023-08-10T09:40:58.965+03:00
782,30,157,Kollowa,ward782,2023-08-10T09:40:58.912+03:00,2023-08-10T09:40:58.912+03:00
790,30,158,Saimo/kipsaram,ward790,2023-08-10T09:40:58.923+03:00,2023-08-10T09:40:58.923+03:00
837,32,168,Hells Gate,ward837,2023-08-10T09:40:58.985+03:00,2023-08-10T09:40:58.985+03:00
783,30,157,Ribkwo,ward783,2023-08-10T09:40:58.913+03:00,2023-08-10T09:40:58.913+03:00
784,30,157,Silale,ward784,2023-08-10T09:40:58.915+03:00,2023-08-10T09:40:58.915+03:00
838,32,168,Lake View,ward838,2023-08-10T09:40:58.985+03:00,2023-08-10T09:40:58.985+03:00
1431,47,287,Viwandani,ward1431,2023-08-10T09:40:59.453+03:00,2023-08-10T09:40:59.453+03:00
785,30,157,Loiyamorok,ward785,2023-08-10T09:40:58.916+03:00,2023-08-10T09:40:58.916+03:00
791,30,158,Saimo/soi,ward791,2023-08-10T09:40:58.924+03:00,2023-08-10T09:40:58.924+03:00
786,30,157,Tangulbei/korossi,ward786,2023-08-10T09:40:58.918+03:00,2023-08-10T09:40:58.918+03:00
787,30,157,Churo/amaya,ward787,2023-08-10T09:40:58.920+03:00,2023-08-10T09:40:58.920+03:00
811,31,163,Ol-moran,ward811,2023-08-10T09:40:58.955+03:00,2023-08-10T09:40:58.955+03:00
792,30,158,Bartabwa,ward792,2023-08-10T09:40:58.926+03:00,2023-08-10T09:40:58.926+03:00
793,30,159,Kabarnet,ward793,2023-08-10T09:40:58.927+03:00,2023-08-10T09:40:58.927+03:00
812,31,163,Rumuruti Township,ward812,2023-08-10T09:40:58.956+03:00,2023-08-10T09:40:58.956+03:00
1432,47,287,Harambee,ward1432,2023-08-10T09:40:59.454+03:00,2023-08-10T09:40:59.454+03:00
794,30,159,Sacho,ward794,2023-08-10T09:40:58.928+03:00,2023-08-10T09:40:58.928+03:00
795,30,159,Tenges,ward795,2023-08-10T09:40:58.929+03:00,2023-08-10T09:40:58.929+03:00
796,30,159,Ewalel/chapchap,ward796,2023-08-10T09:40:58.930+03:00,2023-08-10T09:40:58.930+03:00
813,31,163,Githiga,ward813,2023-08-10T09:40:58.957+03:00,2023-08-10T09:40:58.957+03:00
1366,47,274,Kitisuru,ward1366,2023-08-10T09:40:59.423+03:00,2023-08-10T09:40:59.423+03:00
797,30,159,Kapropita,ward797,2023-08-10T09:40:58.931+03:00,2023-08-10T09:40:58.931+03:00
798,30,160,Marigat,ward798,2023-08-10T09:40:58.932+03:00,2023-08-10T09:40:58.932+03:00
888,33,178,Ololmasani,ward888,2023-08-10T09:40:59.046+03:00,2023-08-10T09:40:59.046+03:00
799,30,160,Ilchamus,ward799,2023-08-10T09:40:58.934+03:00,2023-08-10T09:40:58.934+03:00
800,30,160,Mochongoi,ward800,2023-08-10T09:40:58.935+03:00,2023-08-10T09:40:58.935+03:00
801,30,160,Mukutan,ward801,2023-08-10T09:40:58.936+03:00,2023-08-10T09:40:58.936+03:00
1367,47,274,Parklands/highridge,ward1367,2023-08-10T09:40:59.424+03:00,2023-08-10T09:40:59.424+03:00
802,30,161,Mogotio,ward802,2023-08-10T09:40:58.937+03:00,2023-08-10T09:40:58.937+03:00
803,30,161,Emining,ward803,2023-08-10T09:40:58.939+03:00,2023-08-10T09:40:58.939+03:00
1433,47,287,Makongeni,ward1433,2023-08-10T09:40:59.454+03:00,2023-08-10T09:40:59.454+03:00
804,30,161,Kisanana,ward804,2023-08-10T09:40:58.941+03:00,2023-08-10T09:40:58.941+03:00
